id_n,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Communication,CONS_Education,CONS_Food_Non_Processed,CONS_Food_Processed,CONS_Health,CONS_Housing,CONS_Housing_Goods_Services,CONS_Miscellaneous,CONS_Recreation_Culture,CONS_Restaurants_Hotels,CONS_Transport,CONS_Total,CONS_Other,Year,weight
3020010120013.0,0.0,75.17314412792544,101.66260722228105,34.56105051360797,0.0,0.0,0.7412898443291327,253.28285502488615,778.5904903102827,90.0,355.8191252779837,27.004130043418403,0.0,1716.8346923647146,1716.8346923647146,2016,102.17764
3020010120027.0,0.0,10.748702742772423,0.0,0.0,0.0,0.0,3.7064492216456633,400.0,17.155564968759926,0.0,0.0,11.542941861696494,0.0,443.15365879487445,443.15365879487445,2016,102.17764
3020010120041.0,2.5415651805570265,435.0,101.66260722228105,31.883405697341946,1883.2997987927565,330.4034734724134,7.942391189240707,0.0,492.3906597479614,0.0,46.42910092131737,11.807688234671184,0.0,3343.360690458541,1129.6574181933709,2016,102.17764
3020010120069.0,0.0,130.18796992481202,50.83130361114053,54.0617388541777,493.0636450280631,327.86190829185637,0.0,0.0,162.02478026051043,37.064492216456635,0.0,10.589854918987609,76.24695541671079,1341.932648522715,521.0070952027955,2016,102.17764
3020010120083.0,12.707825902785132,9.530869427088849,0.0,0.0,274.4890395001588,66.08069469448269,0.0,0.0,54.008260086836806,0.0,0.0,6.248014402202689,76.24695541671079,499.31165943026576,158.74192523562425,2016,102.17764
3020010120111.0,0.0,70.7709414381023,152.49391083342158,24.621412686646188,734.5123371809806,261.7812135973737,1.5884782378481415,3400.0,236.4873451233718,81.17970983797522,21.179709837975217,5.877369480038123,0.0,4990.492428253731,3994.1988774753772,2016,102.17764
3020010120125.0,0.0,103.13036111405273,50.83130361114053,0.0,0.0,223.6577358890183,0.0,4465.0,110.45218680504077,0.0,0.0,12.231282431430689,0.0,4965.302869850682,4741.645133961664,2016,102.17764
3020010120139.0,0.0,62.05654982526739,0.0,15.884782378481413,615.0587736948004,149.95234565286455,1.376681139468389,0.0,36.323202372127504,0.0,0.0,1.4825796886582652,0.0,882.1349147516678,117.12379540400286,2016,102.17764
3020010120167.0,0.0,59.30318754633061,0.0,27.412898443291326,188.07582336121993,119.45356348618023,11.966536058455999,0.0,47.23075293868474,33.09329662183628,11.437043312506617,6.541565180557026,254.1565180557026,758.6711850047653,451.1417981573652,2016,102.17764
3020010120181.0,0.0,37.06449221645663,0.0,33.00275336227894,335.48660383352745,17.790956263899183,1.323731864873451,0.0,105.15725934554696,5.294927459493804,0.0,0.7942391189240707,355.8191252779837,891.7340887429843,538.4565286455578,2016,102.17764
3020010720005.0,0.0,134.49115747114263,55.91443397225457,0.0,724.3460764587525,172.82643227787779,27.533622789367783,0.0,329.55628507889435,4.765434713544424,13.766811394683891,3.653499947050725,0.0,1466.8537541035687,569.6812453669385,2016,31.95289
3020010720011.0,0.0,310.8313036111405,55.91443397225457,457.3292385894313,1453.775283278619,487.980514666949,9.107275230329343,0.0,130.2552155035476,258.8478237848141,63.53912951392565,19.326485227152386,0.0,3246.9067033781635,1305.1509054325954,2016,31.95289
3020010720022.0,0.0,355.3055173144128,60.99756433336863,33.675738642380594,1080.1652017367362,254.1565180557026,2.382717356772212,0.0,407.96780684104624,0.0,0.0,11.860637509266121,406.6504288891242,2613.16213067881,1278.8404108863713,2016,31.95289
3020010720028.0,0.0,441.9305305517314,60.99756433336863,104.93804934872392,1001.3766811394684,393.942602986339,22.50344170284867,0.0,384.41173355925025,82.06449221645664,0.0,13.660912845494016,0.0,2505.826008683681,1110.5067245578734,2016,31.95289
3020010720034.0,0.0,425.6766917293233,0.0,54.85544848035581,1286.0319813618553,475.2726887641639,16.943767870380174,3418.002753362279,444.2528857354654,126.43797098379753,12.707825902785132,34.94652123265911,228.74086625013237,6523.869401673197,4762.564731547178,2016,31.95289
3020010720046.0,0.0,123.56878110769881,50.83130361114053,0.0,879.3815524727311,302.44625648628613,3.9182463200254154,0.0,284.3376045748173,4.9772318119241765,15.249391083342157,15.355289632532033,0.0,1680.0656571004974,498.23784814148024,2016,31.95289
3020010720052.0,325.3203431112994,177.76543471354444,152.49391083342158,0.0,68.62225987503972,177.90956263899184,0.0,600.0,986.4386317907445,166.38409403791167,3.176956475696283,15.514137456316847,35.581912527798366,2709.207243460765,2462.6754209467335,2016,31.95289
3020010720063.0,0.0,75.91496346500053,101.66260722228105,0.0,307.5293868474002,139.78608493063643,0.0,0.2117970983797522,137.0554908397755,2.117970983797522,51.89028910303929,4.818383988139362,22.874086625013234,843.8610611034628,396.54558932542614,2016,31.95289
3020010720069.0,0.0,118.07688234671184,0.0,77.5177380069893,1219.9512866673726,269.40590913904475,1.5884782378481415,0.0,221.4338663560309,13.237318648734512,83.65985386000212,2.541565180557026,0.0,2007.4128984432914,518.055702636874,2016,31.95289
3020010720075.0,0.0,195.3828232553214,0.0,28.433760457481732,968.336333792227,510.8546012919623,86.83681033569839,0.0,228.5290691517526,0.0,49.77231811924177,15.884782378481413,0.0,2084.0304987821664,604.8395636979772,2016,31.95289
3020020120005.0,101.66260722228105,248.22619930106956,152.49391083342158,40.45324579053266,1169.119983056232,213.49147516679022,45.11278195488722,0.0,194.006142115853,61.065868897596104,0.0,0.7412898443291326,91.49634650005294,2317.869850683045,935.2583924600228,2016,45.856003
