item,Category
"Donation - to church, charity, beggar, etc.",Recreation_Culture
"Motor vehicle service, repair, or parts",Transport
"Oil change / grease job (car, motor bike, etc.)",Transport
"Repair / pumping of tires, wheels",Transport
"Bicycle service, repair, or parts",Transport
Wages paid to domestic help,Miscellaneous
Bleach (Chlorax),Housing_Goods_Services
Laundry Services,Housing_Goods_Services
"Game of Chance (Winners, lottery etc.)",Miscellaneous
Photocopying / Printing / Typing,Housing_Goods_Services
Wheel Barrow / Push-Push,Housing_Goods_Services
"Carpet, rugs",Housing_Goods_Services
"Drapes, curtains",Housing_Goods_Services
"Linen - towels, sheets, blankets",Housing_Goods_Services
Mattress (Foam),Housing_Goods_Services
"Sports & hobby equipment, musical instruments (drums, horn, etc. Do NOT include radios/CD Player)",Recreation_Culture
"Film, film processing, camera, video camera",Recreation_Culture
"Building items - bricks, timber, zinc sheets, tools, pipes",Housing
Cement,Housing
Paint,Housing
Bucket,Housing_Goods_Services
Travel expenses (other city or country  / pilgrimage),Recreation_Culture
"Insurance - health, auto, home, life",Miscellaneous
Losses to theft (value of items or cash lost),Miscellaneous
Fines or legal/administrative fees,Miscellaneous
Bride price /Marriage costs etc,Miscellaneous
Funeral costs,Miscellaneous
Jewelry,Miscellaneous
"Garments for men (shirts, underpants, undershirt, t-shirt, trousers, khaki shirt/trouser, pyjama, shorts, socks, suits, cloth wraps, lappa, fabric etc.)",Clothing_Footwear
"Garments for women (dress, lappa suit, blouses, bra, underwear, skirts, boubou, jeans, skirt, lappa, cloth wrap, fabric etc.)",Clothing_Footwear
Garments for children and babies,Clothing_Footwear
"Sewing costs, Tailoring and Seamstress Costs, Clothing Repair Costs (for men, women and children)",Clothing_Footwear
"Footwear for men (leather shoes, plastic sandals, sneakers, sports shoes etc.)",Clothing_Footwear
"Footwear for women (sandals, heels, sneakers, etc.)",Clothing_Footwear
Footwear for children and babies,Clothing_Footwear
"Accessories (handkerchiefs, belts, hats, ties, watches, handbags etc.)",Clothing_Footwear
"Other clothing articles (buttons, thread, etc.)",Clothing_Footwear
"Repairs to household durables and personal items (radios, watches, other appliances etc.)",Housing_Goods_Services
Moving and Shipping Expenses,Miscellaneous
"Taxes for income, property, etc.",Miscellaneous
"Games and Toys (Chess, Cards, Checkers, Dolls, etc.)",Housing_Goods_Services
"Writing and drawing materials (notebooks, enveloes, etc.)",Housing_Goods_Services
"Financial fees (banks, money transfers Western Union / Moneygram)",Housing_Goods_Services
"Other transport related expenses (vehicle inspection, driving school, etc.)",Transport
"Farm Implements (cutlass, handhoe, shovel, digger, axe, rake, pingalay, saw, chapiah, etc.)",Miscellaneous
Other costs not stated elsewhere,Miscellaneous
Education,Education
Health,Health
Restaurant,Restaurants_Hotels
Housing,Housing
Water,Housing
